Temperature,matrix_size,index,energies,magnetisation,accepted_configurations
2.4,20,942000,-494.591,180.895,101561025
2.4,20,943000,-494.592,180.913,101668528
2.4,20,944000,-494.579,180.871,101781190
2.4,20,945000,-494.587,180.89,101885919
2.4,20,946000,-494.587,180.885,101993829
2.4,20,947000,-494.587,180.88,102102261
2.4,20,948000,-494.599,180.909,102205753
2.4,20,949000,-494.596,180.905,102314925
2.4,20,950000,-494.62,180.95,102415224
2.4,20,951000,-494.61,180.937,102526668
2.4,20,952000,-494.595,180.923,102640015
2.4,20,953000,-494.596,180.923,102747336
2.4,20,954000,-494.597,180.941,102855143
2.4,20,955000,-494.603,180.924,102961034
2.4,20,956000,-494.615,180.96,103064705
2.4,20,957000,-494.593,180.929,103180300
2.4,20,958000,-494.592,180.936,103288339
2.4,20,959000,-494.594,180.93,103395966
2.4,20,960000,-494.581,180.909,103508657
2.4,20,961000,-494.57,180.887,103619505
2.4,20,962000,-494.59,180.934,103720074
2.4,20,963000,-494.58,180.92,103831783
2.4,20,964000,-494.571,180.91,103942113
2.4,20,965000,-494.572,180.91,104049412
2.4,20,966000,-494.566,180.903,104159640
2.4,20,967000,-494.578,180.914,104263780
2.4,20,968000,-494.576,180.924,104372496
2.4,20,969000,-494.573,180.913,104481810
2.4,20,970000,-494.561,180.874,104594052
2.4,20,971000,-494.568,180.866,104699006
2.4,20,972000,-494.55,180.814,104813918
2.4,20,973000,-494.523,180.756,104931701
2.4,20,974000,-494.517,180.756,105041596
2.4,20,975000,-494.503,180.732,105154862
2.4,20,976000,-494.496,180.722,105265402
2.4,20,977000,-494.5,180.734,105371887
2.4,20,978000,-494.505,180.752,105477359
2.4,20,979000,-494.517,180.785,105580292
2.4,20,980000,-494.522,180.804,105685923
2.4,20,981000,-494.534,180.847,105789339
2.4,20,982000,-494.54,180.852,105894852
2.4,20,983000,-494.538,180.845,106003863
2.4,20,984000,-494.548,180.858,106108209
2.4,20,985000,-494.542,180.844,106217879
2.4,20,986000,-494.527,180.786,106332052
2.4,20,987000,-494.528,180.785,106439594
2.4,20,988000,-494.519,180.772,106550598
2.4,20,989000,-494.509,180.757,106662329
2.4,20,990000,-494.493,180.729,106777075
2.4,20,991000,-494.498,180.742,106883605
2.4,20,992000,-494.499,180.75,106991006
2.4,20,993000,-494.495,180.743,107099568
2.4,20,994000,-494.508,180.767,107202595
2.4,20,995000,-494.537,180.831,107299628
2.4,20,996000,-494.539,180.831,107406677
2.4,20,997000,-494.549,180.857,107510847
2.4,20,998000,-494.536,180.832,107623572
2.4,20,999000,-494.523,180.803,107735991
