type,parrallelisation_flag,Amount_threads,N,time_use,result,relative_error,standard_deviation
goodMonteCarlo,yes,1,100000,0.042044,0.189477,0.0170632,0.00299252
badMonteCarlo,yes,4,1000,0.000387278,0.111678,0.420653,0.0510594
goodMonteCarlo,yes,4,1000,0.000658938,0.19562,0.0148071,0.0424309
badMonteCarlo,yes,4,10000,0.00319802,0.203958,0.0580636,0.0412331
goodMonteCarlo,yes,4,10000,0.0049659,0.174815,0.0931207,0.00743599
badMonteCarlo,yes,4,100000,0.0277356,0.147946,0.23251,0.0114434
goodMonteCarlo,yes,4,100000,0.0335267,0.195993,0.0167423,0.00325974
badMonteCarlo,yes,4,100000,0.0270863,0.160873,0.165446,0.0208579
goodMonteCarlo,yes,4,100000,0.0275679,0.19825,0.0284521,0.0036065
badMonteCarlo,yes,4,1000000,0.105222,0.196679,0.0202991,0.0102379
goodMonteCarlo,yes,4,1000000,0.198501,0.192793,0.00014085,0.00105
badMonteCarlo,yes,4,10000000,0.890342,0.195373,0.0135282,0.00418251
goodMonteCarlo,yes,4,10000000,1.28882,0.192624,0.000733774,0.000327596
badMonteCarlo,yes,4,100000000,8.96483,0.189839,0.0151814,0.000916399
goodMonteCarlo,yes,4,100000000,13.0161,0.192726,0.000205803,0.000103791
badMonteCarlo,yes,4,1000000000,87.5446,0.192032,0.00380546,0.000322412
goodMonteCarlo,yes,4,1000000000,133.568,0.192765,5.72935e-06,3.29285e-05
gauleg,yes,1,10,0.038071,0.129834,0.326466,0
gaulag,yes,1,10,0.108246,0.177081,0.0813679,0
gauleg,yes,1,15,0.426155,0.199475,0.0348043,0
gaulag,yes,1,15,1.5711,0.193285,0.00269565,0
gauleg,yes,1,20,2.90226,0.177065,0.0814488,0
gaulag,yes,1,20,6.93208,0.194786,0.0104784,0
gauleg,yes,4,10,0.0308586,0.129834,0.326466,0
gaulag,yes,4,10,0.0510785,0.177081,0.0813679,0
gauleg,yes,4,15,0.132493,8.5022e+228,4.41064e+229,0
gaulag,yes,4,15,0.392391,0.193285,0.00269565,0
gauleg,yes,4,20,0.728281,0.177065,0.0814488,0
gaulag,yes,4,20,1.88213,0.194786,0.0104784,0
gauleg,yes,4,25,2.66005,8.5022e+228,4.41064e+229,0
gaulag,yes,4,25,7.87423,0.194804,0.0105751,0
gauleg,yes,4,30,8.2527,0.185796,0.0361583,0
gaulag,yes,4,30,22.9127,0.194779,0.010443,0
gauleg,yes,4,40,47.2761,4.2511e+228,2.20532e+229,0
gaulag,yes,4,40,137.878,0.194669,0.009873,0
badMonteCarlo,yes,1,1000,0.000296,0.0425275,0.779382,0.0122601
goodMonteCarlo,yes,1,1000,0.000447,0.183337,0.0489106,0.0271709
badMonteCarlo,yes,1,10000,0.002994,0.117306,0.39146,0.0242186
goodMonteCarlo,yes,1,10000,0.004212,0.179935,0.0665604,0.00759964
badMonteCarlo,yes,1,100000,0.045438,0.207007,0.0738809,0.0275099
goodMonteCarlo,yes,1,100000,0.070473,0.19266,0.000548862,0.00294194
badMonteCarlo,yes,4,1000,0.000364108,0.110419,0.427188,0.0417846
goodMonteCarlo,yes,4,1000,0.000615733,0.180776,0.0621987,0.0235187
badMonteCarlo,yes,4,10000,0.00327666,0.1497,0.223409,0.0378105
goodMonteCarlo,yes,4,10000,0.00488147,0.1988,0.0313043,0.00876008
badMonteCarlo,yes,4,100000,0.0268402,0.189989,0.0144045,0.0307908
goodMonteCarlo,yes,4,100000,0.0381231,0.19164,0.00583969,0.00306857
badMonteCarlo,yes,4,100000,0.0258192,0.171201,0.111868,0.014541
goodMonteCarlo,yes,4,100000,0.0389118,0.195273,0.013007,0.00479282
badMonteCarlo,yes,4,1000000,0.101671,0.194261,0.00775911,0.00810387
