Omega,alpha,energy,sigma, distance
0.5,1.04,2.076598,0.44882435,2.2127
0.5,1.05,2.0798237,0.45391516,2.2025437
0.5,1.06,2.0833471,0.49488141,2.1920694
0.5,1.07,2.0869091,0.48088862,2.1821513
0.5,1.08,2.0906765,0.47045412,2.1714521
0.5,1.09,2.0945798,0.47488293,2.1616111
0.5,1.1,2.0985433,0.48310854,2.1517193
0.5,1.11,2.1025548,0.50085743,2.1423214
0.5,1.12,2.1067112,0.49517362,2.1322524
0.5,1.13,2.1109585,0.50377153,2.1229579
0.5,1.14,2.1153468,0.52324398,2.1136875
0.5,1.15,2.1200228,0.51484272,2.1034701
0.5,1.16,2.1244572,0.52180658,2.0947755
0.5,1.17,2.1288136,0.52603818,2.0862901
0.5,1.18,2.1335017,0.53416988,2.0773818
0.5,1.19,2.1384338,0.54110037,2.0684879
0.5,1.2,2.1429732,0.546639,2.0601844
1,0.21,7.8240719,3.8468963,3.4819208
1,0.22,7.523889,3.6503226,3.4016079
1,0.23,7.2481132,3.466038,3.3268013
1,0.24,7.0009651,3.2997097,3.2573253
1,0.25,6.7725536,3.1436683,3.1918857
1,0.26,6.5651331,3.0007264,3.1292055
1,0.27,6.3751523,2.8698118,3.071223
1,0.28,6.2018291,2.7464668,3.0165982
1,0.29,6.0369083,2.6278856,2.9633033
1,0.3,5.8879099,2.5197996,2.9136071
1,0.31,5.7460446,2.4144397,2.8652023
1,0.32,5.6189344,2.321322,2.8213533
1,0.33,5.5000749,2.2327264,2.7785689
1,0.34,5.3868865,2.1439958,2.7363894
1,0.35,5.2817043,2.0612078,2.6976396
1,0.36,5.1844512,1.9833141,2.6592845
1,0.37,5.0937596,1.9098924,2.622803
1,0.38,5.0093373,1.8413685,2.5888908
1,0.39,4.9279799,1.7722914,2.5552016
1,0.4,4.8549766,1.7095005,2.5233306
1,0.41,4.785452,1.6494268,2.4920629
1,0.42,4.7180731,1.589808,2.4624648
1,0.43,4.6571211,1.53501,2.4336531
1,0.44,4.5986286,1.4815875,2.4060964
1,0.45,4.542121,1.4317377,2.3780674
1,0.46,4.490755,1.3800971,2.3524852
1,0.47,4.4431915,1.3355691,2.3274799
1,0.48,4.3989476,1.2892966,2.3031761
1,0.49,4.3534931,1.2443489,2.279306
1,0.5,4.3139673,1.2025596,2.2567696
1,0.51,4.2752179,1.1610316,2.2335119
1,0.52,4.2400354,1.1233576,2.213099
1,0.53,4.205773,1.0927283,2.192421
1,0.54,4.1737483,1.0492929,2.1714314
1,0.55,4.143269,1.015285,2.1513891
1,0.56,4.1153466,0.98319935,2.1323882
1,0.57,4.0891694,0.94906413,2.1137611
1,0.58,4.0626234,0.9189823,2.0944094
1,0.59,4.0402332,0.88879141,2.0769576
1,0.6,4.017797,0.86040192,2.0601498
1,0.61,3.99712,0.8324657,2.0436557
1,0.62,3.977683,0.80725591,2.0266016
1,0.63,3.9590051,0.78124301,2.0102733
1,0.64,3.9421292,0.759876,1.9947119
1,0.65,3.9258832,0.73837338,1.9795954
1,0.66,3.9107834,0.71400365,1.9642194
1,0.67,3.8967575,0.69396383,1.9496286
1,0.68,3.8841053,0.67601073,1.9354277
1,0.69,3.8715938,0.65689349,1.9202385
1,0.7,3.860387,0.64071971,1.9072468
1,0.71,3.8501973,0.62048806,1.8945881
1,0.72,3.8402801,0.60620699,1.8805044
1,0.73,3.8315586,0.59374878,1.8670771
1,0.74,3.8234689,0.5810581,1.8555331
1,0.75,3.815903,0.56738238,1.8419957
1,0.76,3.8091136,0.58877919,1.8314302
1,0.77,3.8033281,0.55045443,1.8189459
1,0.78,3.7978095,0.54371609,1.8063478
1,0.79,3.7928811,0.53627307,1.7954107
1,0.8,3.7885987,0.52994317,1.7840207
1,0.81,3.7848662,0.52814922,1.7728902
1,0.82,3.7816741,0.52068351,1.7620125
