Index,Energy,omega,alpha
336000,3.77201,1,0.88
337000,3.77178,1,0.88
338000,3.77174,1,0.88
339000,3.77167,1,0.88
340000,3.77168,1,0.88
341000,3.77177,1,0.88
342000,3.7715,1,0.88
343000,3.77143,1,0.88
344000,3.77157,1,0.88
345000,3.77164,1,0.88
346000,3.77158,1,0.88
347000,3.77161,1,0.88
348000,3.77146,1,0.88
349000,3.77148,1,0.88
350000,3.77159,1,0.88
351000,3.77158,1,0.88
352000,3.77157,1,0.88
353000,3.77158,1,0.88
354000,3.77152,1,0.88
355000,3.77144,1,0.88
356000,3.77136,1,0.88
357000,3.77145,1,0.88
358000,3.77152,1,0.88
359000,3.77164,1,0.88
360000,3.77178,1,0.88
361000,3.77184,1,0.88
362000,3.77202,1,0.88
363000,3.77213,1,0.88
364000,3.77228,1,0.88
365000,3.77216,1,0.88
366000,3.77215,1,0.88
367000,3.77213,1,0.88
368000,3.77213,1,0.88
369000,3.77207,1,0.88
370000,3.77196,1,0.88
371000,3.77197,1,0.88
372000,3.77196,1,0.88
373000,3.77208,1,0.88
374000,3.77216,1,0.88
375000,3.77215,1,0.88
376000,3.77226,1,0.88
377000,3.77215,1,0.88
378000,3.77224,1,0.88
379000,3.77246,1,0.88
380000,3.77256,1,0.88
381000,3.77256,1,0.88
382000,3.77264,1,0.88
383000,3.77265,1,0.88
384000,3.77263,1,0.88
385000,3.77261,1,0.88
386000,3.77282,1,0.88
387000,3.77271,1,0.88
388000,3.77264,1,0.88
389000,3.7727,1,0.88
390000,3.77267,1,0.88
391000,3.77266,1,0.88
392000,3.77278,1,0.88
393000,3.77297,1,0.88
394000,3.77305,1,0.88
395000,3.77314,1,0.88
396000,3.7733,1,0.88
397000,3.77318,1,0.88
398000,3.77315,1,0.88
399000,3.77312,1,0.88
400000,3.77316,1,0.88
401000,3.77311,1,0.88
402000,3.77306,1,0.88
403000,3.77307,1,0.88
404000,3.77306,1,0.88
405000,3.77315,1,0.88
406000,3.77301,1,0.88
407000,3.77309,1,0.88
408000,3.77324,1,0.88
409000,3.77328,1,0.88
410000,3.77327,1,0.88
411000,3.7732,1,0.88
412000,3.77317,1,0.88
413000,3.7732,1,0.88
414000,3.77334,1,0.88
415000,3.77333,1,0.88
416000,3.77331,1,0.88
417000,3.77338,1,0.88
418000,3.77344,1,0.88
419000,3.77345,1,0.88
420000,3.7734,1,0.88
421000,3.77328,1,0.88
422000,3.77333,1,0.88
423000,3.77344,1,0.88
424000,3.7734,1,0.88
425000,3.77339,1,0.88
426000,3.77322,1,0.88
427000,3.77322,1,0.88
428000,3.77317,1,0.88
429000,3.77332,1,0.88
430000,3.77339,1,0.88
431000,3.77331,1,0.88
432000,3.77325,1,0.88
433000,3.77318,1,0.88
434000,3.77322,1,0.88
435000,3.77332,1,0.88
436000,3.77329,1,0.88
437000,3.77342,1,0.88
438000,3.77331,1,0.88
439000,3.7732,1,0.88
440000,3.77327,1,0.88
441000,3.77325,1,0.88
442000,3.77313,1,0.88
443000,3.77316,1,0.88
444000,3.77315,1,0.88
445000,3.77312,1,0.88
446000,3.77308,1,0.88
447000,3.77312,1,0.88
448000,3.77318,1,0.88
449000,3.77318,1,0.88
450000,3.77304,1,0.88
451000,3.77315,1,0.88
452000,3.7733,1,0.88
453000,3.77339,1,0.88
454000,3.77322,1,0.88
455000,3.77316,1,0.88
456000,3.77309,1,0.88
457000,3.77289,1,0.88
458000,3.77279,1,0.88
459000,3.77294,1,0.88
460000,3.77307,1,0.88
461000,3.77313,1,0.88
462000,3.77313,1,0.88
463000,3.77311,1,0.88
464000,3.77307,1,0.88
465000,3.773,1,0.88
466000,3.77282,1,0.88
467000,3.77286,1,0.88
468000,3.77275,1,0.88
469000,3.7727,1,0.88
470000,3.77271,1,0.88
471000,3.77271,1,0.88
472000,3.77272,1,0.88
473000,3.77271,1,0.88
474000,3.77259,1,0.88
475000,3.77252,1,0.88
476000,3.77259,1,0.88
477000,3.77273,1,0.88
478000,3.77275,1,0.88
479000,3.77263,1,0.88
480000,3.77261,1,0.88
481000,3.77267,1,0.88
482000,3.77264,1,0.88
483000,3.77263,1,0.88
484000,3.77252,1,0.88
485000,3.7725,1,0.88
486000,3.77248,1,0.88
487000,3.77252,1,0.88
488000,3.77249,1,0.88
489000,3.77249,1,0.88
490000,3.77246,1,0.88
491000,3.77237,1,0.88
492000,3.77236,1,0.88
493000,3.7724,1,0.88
494000,3.77243,1,0.88
495000,3.77236,1,0.88
496000,3.77226,1,0.88
497000,3.77223,1,0.88
498000,3.77235,1,0.88
499000,3.77233,1,0.88
500000,3.77235,1,0.88
501000,3.77225,1,0.88
502000,3.77236,1,0.88
503000,3.77224,1,0.88
504000,3.77222,1,0.88
505000,3.77232,1,0.88
506000,3.77229,1,0.88
507000,3.77241,1,0.88
508000,3.7724,1,0.88
509000,3.77232,1,0.88
510000,3.77231,1,0.88
511000,3.7722,1,0.88
512000,3.77233,1,0.88
513000,3.77246,1,0.88
514000,3.77268,1,0.88
515000,3.77266,1,0.88
516000,3.77254,1,0.88
517000,3.77262,1,0.88
518000,3.77256,1,0.88
519000,3.77251,1,0.88
520000,3.77261,1,0.88
521000,3.77257,1,0.88
522000,3.77254,1,0.88
523000,3.7726,1,0.88
524000,3.77268,1,0.88
525000,3.77263,1,0.88
526000,3.77254,1,0.88
527000,3.77245,1,0.88
528000,3.77241,1,0.88
529000,3.77235,1,0.88
