type,parrallelisation_flag,Amount_threads,N,time_use,result,relative_error,standard_deviation
goodMonteCarlo,yes,1,1000000,0.416954,0.192643,0.000634295,0.000998782
badMonteCarlo,yes,1,10000000,2.84076,0.185397,0.0382258,0.00245853
goodMonteCarlo,yes,1,10000000,4.15081,0.192705,0.00031621,0.000326742
badMonteCarlo,yes,4,1000,0.00036314,0.115103,0.402888,0.0648233
goodMonteCarlo,yes,4,1000,0.00054008,0.173316,0.100898,0.0159075
badMonteCarlo,yes,4,10000,0.00320126,0.230892,0.197785,0.0880692
goodMonteCarlo,yes,4,10000,0.00346581,0.187979,0.0248333,0.00982292
badMonteCarlo,yes,4,100000,0.0290325,0.178187,0.0756309,0.0157289
goodMonteCarlo,yes,4,100000,0.0310284,0.19235,0.00215618,0.00303883
badMonteCarlo,yes,4,100000,0.0225576,0.270638,0.403975,0.0392909
goodMonteCarlo,yes,4,100000,0.0273844,0.192166,0.00310948,0.00278273
badMonteCarlo,yes,4,1000000,0.0999946,0.177448,0.0794639,0.00707835
goodMonteCarlo,yes,4,1000000,0.195629,0.193461,0.00360809,0.00100615
badMonteCarlo,yes,4,10000000,0.877348,0.1933,0.00277367,0.0027527
goodMonteCarlo,yes,4,10000000,1.27523,0.192716,0.000260163,0.000336565
badMonteCarlo,yes,4,100000000,8.86991,0.192899,0.000693912,0.00114473
goodMonteCarlo,yes,4,100000000,12.951,0.192908,0.000737859,0.000105246
badMonteCarlo,yes,4,1000000000,86.6241,0.192065,0.0036326,0.000317767
goodMonteCarlo,yes,4,1000000000,131.504,0.192778,6.26433e-05,3.29507e-05
gauleg,yes,1,10,0.038761,0.129834,0.326466,0
gaulag,yes,1,10,0.175316,0.177081,0.0813679,0
gauleg,yes,1,15,0.729509,0.199475,0.0348043,0
gaulag,yes,1,15,1.27923,0.193285,0.00269565,0
gauleg,yes,1,20,2.40533,0.177065,0.0814488,0
gaulag,yes,1,20,6.32716,0.194786,0.0104784,0
gauleg,yes,1,30,27.3854,0.185796,0.0361583,0
gaulag,yes,1,30,74.2868,0.194779,0.010443,0
gauleg,yes,4,10,0.0306569,0.129834,0.326466,0
gaulag,yes,4,10,0.0694217,0.177081,0.0813679,0
gauleg,yes,4,15,0.135647,0.199475,0.0348043,0
gaulag,yes,4,15,0.398095,0.193285,0.00269565,0
gauleg,yes,4,20,0.747398,0.177065,0.0814488,0
gaulag,yes,4,20,1.88779,0.194786,0.0104784,0
gauleg,yes,4,25,2.57938,0.18911,0.018967,0
gaulag,yes,4,25,7.38549,0.194804,0.0105751,0
gauleg,yes,4,30,8.01631,0.185796,0.0361583,0
gaulag,yes,4,30,22.859,0.194779,0.010443,0
gauleg,yes,4,40,46.1226,0.18867,0.0212464,0
gaulag,yes,4,40,137.696,0.194669,0.009873,0
gauleg,yes,4,45,95.8783,0.190128,0.0136823,0
gaulag,yes,4,45,262.745,0.194594,0.00948246,0
badMonteCarlo,yes,1,1000,0.000289,0.108259,0.43839,0.0481202
goodMonteCarlo,yes,1,1000,0.000487,0.192304,0.00239303,0.0246185
badMonteCarlo,yes,1,10000,0.002929,0.196961,0.0217625,0.0368029
goodMonteCarlo,yes,1,10000,0.00421,0.18552,0.0375906,0.00868819
badMonteCarlo,yes,1,100000,0.028764,0.174073,0.0969686,0.0143278
goodMonteCarlo,yes,1,100000,0.041955,0.189999,0.014355,0.00290531
badMonteCarlo,yes,1,1000000,0.284765,0.207381,0.075819,0.0156415
goodMonteCarlo,yes,1,1000000,0.414837,0.192656,0.000567623,0.0010433
badMonteCarlo,yes,1,1000000,0.284654,0.190263,0.0129856,0.00906224
goodMonteCarlo,yes,1,1000000,0.415172,0.192409,0.00185134,0.00100792
badMonteCarlo,yes,1,1000000,0.285805,0.201748,0.0465995,0.0085157
goodMonteCarlo,yes,1,1000000,0.415475,0.192041,0.00376029,0.000962283
badMonteCarlo,yes,1,10000000,2.83436,0.190171,0.013458,0.00299418
goodMonteCarlo,yes,1,10000000,4.64739,0.192735,0.000157559,0.000316466
badMonteCarlo,yes,4,1000,0.000376934,0.0485011,0.748393,0.0117631
goodMonteCarlo,yes,4,1000,0.000469472,0.171367,0.111008,0.0214038
badMonteCarlo,yes,4,10000,0.0032268,0.77584,3.02478,0.588482
goodMonteCarlo,yes,4,10000,0.00509646,0.192716,0.000259095,0.00809296
badMonteCarlo,yes,4,100000,0.0295241,0.192894,0.000663262,0.0199428
goodMonteCarlo,yes,4,100000,0.0335402,0.191657,0.00575327,0.00351383
badMonteCarlo,yes,4,100000,0.0262089,0.170739,0.114268,0.017987
goodMonteCarlo,yes,4,100000,0.0294685,0.195689,0.0151625,0.0034328
badMonteCarlo,yes,4,1000000,0.0951382,0.19016,0.0135176,0.00930643
goodMonteCarlo,yes,4,1000000,0.192459,0.194729,0.0101869,0.00102077
badMonteCarlo,yes,4,10000000,0.871504,0.192033,0.00379904,0.00311319
goodMonteCarlo,yes,4,10000000,1.28426,0.192685,0.000418767,0.000328387
badMonteCarlo,yes,4,100000000,8.46238,0.194146,0.00716091,0.00103643
goodMonteCarlo,yes,4,100000000,12.9393,0.192794,0.000146484,0.000103172
badMonteCarlo,yes,4,1000000000,86.3516,0.192465,0.00156146,0.000316143
goodMonteCarlo,yes,4,1000000000,129.817,0.192759,3.63959e-05,3.29255e-05
gauleg,yes,1,10,0.03831,0.129834,0.326466,0
gaulag,yes,1,10,0.108082,0.177081,0.0813679,0
gauleg,yes,1,15,0.428763,0.199475,0.0348043,0
gaulag,yes,1,15,1.12986,0.193285,0.00269565,0
gauleg,yes,1,20,2.40293,0.177065,0.0814488,0
gaulag,yes,1,20,6.32039,0.194786,0.0104784,0
gauleg,yes,1,30,27.3486,0.185796,0.0361583,0
gaulag,yes,1,30,71.3601,0.194779,0.010443,0
gauleg,yes,4,10,0.0317813,0.129834,0.326466,0
gaulag,yes,4,10,0.0677807,0.177081,0.0813679,0
gauleg,yes,4,15,0.134299,0.199475,0.0348043,0
gaulag,yes,4,15,0.397326,0.193285,0.00269565,0
gauleg,yes,4,20,0.752373,0.177065,0.0814488,0
gaulag,yes,4,20,1.87495,0.194786,0.0104784,0
gauleg,yes,4,25,2.57847,0.18911,0.018967,0
gaulag,yes,4,25,7.74043,0.194804,0.0105751,0
gauleg,yes,4,30,7.91355,0.185796,0.0361583,0
gaulag,yes,4,30,22.0089,0.194779,0.010443,0
gauleg,yes,4,40,46.0072,0.18867,0.0212464,0
gaulag,yes,4,40,136.048,0.194669,0.009873,0
gauleg,yes,4,45,94.909,0.190128,0.0136823,0
gaulag,yes,4,45,270.613,0.194594,0.00948246,0
badMonteCarlo,yes,1,1000,0.000536,0.840302,3.35919,0.51811
goodMonteCarlo,yes,1,1000,0.000756,0.198224,0.0283172,0.0235485
badMonteCarlo,yes,1,10000,0.004847,0.132286,0.313746,0.0265066
goodMonteCarlo,yes,1,10000,0.007192,0.189836,0.0151964,0.0101881
badMonteCarlo,yes,1,100000,0.048805,0.225753,0.171126,0.0415265
goodMonteCarlo,yes,1,100000,0.071064,0.192703,0.000324906,0.00290987
badMonteCarlo,yes,1,1000000,0.321731,0.194115,0.00700215,0.00796083
goodMonteCarlo,yes,1,1000000,0.415475,0.191961,0.00417512,0.00111718
badMonteCarlo,yes,1,1000000,0.283718,0.196971,0.0218174,0.00876992
